Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Otras Velocidades,Total Velocidades,Mbps (Media de bajada),ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total Accesos,Banda ancha fija,Dial up,Total dial_BAf,Accesos por cada 100 hogares,Accesos por cada 100 hab
2014,2,Neuquén,1531,3206,79087,92,2289,2,30,0,86237,3.66,47767,29776,997,10765,2983,92288,90053,2235,92288,50.84,15.14
2014,2,Río Negro,3468,5507,84978,78,1569,2,8,0,95610,3.43,64920,24944,876,3657,1560,95957,94812,1145,95957,45.33,13.95
2014,2,Salta,53,18818,64440,8293,388,0,0,0,91992,3.39,73841,17504,45,7,577,91974,91949,25,91974,28.91,7.0
2014,2,San Juan,10,507,51129,0,0,0,0,0,51646,3.47,48161,451,722,1139,1173,51646,50891,755,51646,27.78,7.08
2014,2,San Luis,7,0,13045,0,0,1,2,0,13055,3.5,11306,925,354,22,448,13055,12691,364,13055,9.72,2.78
2014,2,Santa Cruz,153,1637,25374,2,0,0,0,0,27166,3.32,18956,448,381,4118,3266,27169,26710,459,27169,29.38,8.74
2014,2,Santa Fe,8515,115197,353559,23939,10058,34,792,0,512094,3.31,324101,178495,3085,6041,636,512358,511753,605,512358,48.39,15.22
2014,2,Santiago Del Estero,1231,9914,23842,2867,142,0,0,0,37996,3.07,32820,4231,19,907,34,38011,38002,9,38011,16.7,4.14
2014,2,Tierra Del Fuego,12,334,31198,2,0,0,0,0,31546,3.47,21618,3008,648,1,2934,28209,27443,766,28209,64.36,19.09
2014,2,Tucumán,6,32714,84675,14101,559,4,0,0,132059,3.35,131740,97,121,13,98,132069,131981,88,132069,33.94,8.41
2014,1,Buenos Aires,8469,171244,2279875,121787,38923,206,4037,0,2624542,3.73,1567685,1000879,120960,16528,33824,2739876,2725732,14144,2739876,54.57,16.69
2014,1,Capital Federal,852,88826,1096050,70293,38798,55,6208,0,1301081,4.02,445569,820161,17767,1866,14555,1299918,1289204,10714,1299918,112.25,42.66
2014,1,Catamarca,19,9147,13330,1672,64,0,0,0,24232,2.8,24126,46,17,0,43,24232,24209,23,24232,24.25,6.18
2014,1,Chaco,438,15849,40869,4644,741,5,0,0,62546,3.26,52971,9497,30,0,58,62556,62520,36,62556,20.72,5.55
2014,1,Chubut,7452,10,61329,0,0,0,0,0,68791,3.18,51066,539,866,10776,6974,70221,68205,2016,70221,41.24,12.7
2014,1,Córdoba,2076,107705,423114,24112,9818,40,588,0,567453,3.39,336841,225769,347,3585,368,566910,566705,205,566910,52.52,16.13
2014,1,Corrientes,20,16357,40742,4486,630,0,0,0,62235,3.22,52565,8279,31,1306,55,62236,62203,33,62236,22.32,5.89
2014,1,Entre Ríos,2177,35206,85248,10828,746,0,43,0,134248,3.17,107883,21379,49,4887,133,134331,134216,115,134331,34.37,10.3
2014,1,Formosa,2062,8475,13685,1133,67,0,0,0,25422,2.57,20774,4548,0,0,100,25422,25335,87,25422,17.42,4.44
2014,1,Jujuy,1832,11498,18415,2002,56,0,0,0,33803,2.69,29765,4030,23,0,9,33827,33825,2,33827,18.42,4.72
2014,1,La Pampa,7434,6535,32501,17,5,4,10,0,46506,2.65,15826,31305,513,5848,701,54193,53601,592,54193,48.43,15.99
2014,1,La Rioja,10,5111,9390,1165,35,0,0,0,15711,2.96,15663,0,14,0,34,15711,15688,23,15711,16.29,4.35
2014,1,Mendoza,35,6,166655,19,10,6,9,0,166740,3.5,148970,12076,2480,37,2282,165845,164084,1761,165845,31.91,8.93
2014,1,Misiones,545,14460,52852,5139,958,0,0,0,73954,3.4,56597,17191,4,150,8,73950,73950,0,73950,23.14,6.32
2014,1,Neuquén,4133,987,77148,84,1582,2,22,0,83958,3.55,47790,28161,997,10381,3051,90380,88077,2303,90380,49.79,14.88
2014,1,Río Negro,4670,4618,84304,73,1062,1,8,0,94736,3.35,64886,24156,876,3576,1572,95066,93909,1157,95066,44.91,13.87
2014,1,Salta,53,19677,64061,7192,314,0,0,0,91297,3.3,73131,17538,45,8,568,91290,91265,25,91290,28.7,6.98
2014,1,San Juan,531,2,51056,0,0,0,0,0,51589,3.47,48161,434,722,808,1173,51298,50543,755,51298,27.6,7.05
2014,1,San Luis,7,3,12544,0,1,0,2,0,12557,3.5,11306,428,354,21,448,12557,12193,364,12557,9.35,2.68
2014,1,Santa Cruz,161,1625,24972,1,1,0,0,0,26760,3.32,18927,100,381,4092,3264,26764,26304,460,26764,28.94,8.68
2014,1,Santa Fe,8456,124468,345225,20328,6845,23,668,0,506013,3.15,322662,174296,3059,5951,644,506612,506000,612,506612,47.85,15.08
2014,1,Santiago Del Estero,1234,10531,22817,2422,109,0,0,0,37113,2.95,32567,3598,19,915,34,37133,37124,9,37133,16.31,4.06
2014,1,Tierra Del Fuego,12,607,30902,6,0,0,0,0,31527,3.45,21618,2837,648,1,2934,28038,27272,766,28038,63.97,19.1
